prompt,completion,prompt_translated,completion_translated
What are the symptoms of depression?,"Depression symptoms include persistent sadness, loss of interest in activities, changes in appetite or weight, sleep disturbances, fatigue, feelings of worthlessness or guilt, difficulty concentrating, and thoughts of death or suicide. Symptoms must persist for at least two weeks for diagnosis.",Kí ni àwọn àmì ìsoríkọ́?,"Àwọn àmì tó ń fa ìsoríkọ́ máa ń jẹ́ ìbànújẹ́ tó ń báni fínra, kéèyàn má fẹ́ ṣe nǹkan kan mọ́, kéèyàn máà fẹ́ ṣe nǹkan kan mọ́, kéèyàn máà ní oúnjẹ tó pọ̀ tàbí kéèyàn máà ní àdánù tó pọ̀, kéèyàn máà ní oorun tó dáa, kéèyàn máà ní ẹ̀dùn ọkàn, kéèyàn máà lè pọkàn pọ̀, kéèyàn máà lè ronú pé òun ti kú tàbí kó pa ara òun."
How can I prevent osteoporosis?,"Prevent osteoporosis by getting adequate calcium and vitamin D, engaging in weight-bearing and resistance exercises, avoiding smoking and excessive alcohol, maintaining a healthy weight, and considering bone density screening if at risk. Weight-bearing activities stimulate bone formation.",Báwo ni mo ṣe lè dáàbò bo ara mi lọ́wọ́ àìsàn osteoporosis?,"Ó yẹ kó o rí i dájú pé o kọ̀ láti ní àrùn osteoporosis nípa jíjẹ èròjà kalíkù àti vitamin D tó pọ̀, nípa ṣíṣe eré ìmárale tó máa ń mú kí èèyàn gbé ara rẹ̀ sókè àti eré ìmárale tó máa ń mú kí ara rẹ̀ ní ìgboyà, nípa ṣíṣàì mu sìgá tàbí ọtí àmujù, nípa jíjẹ́ kí ara rẹ le, nípa ṣíṣe ìwádìí nípa bí egungun ṣe máa pọ̀ tó tó tó tó bá sì wà nínú ewu."
What are the early signs of Alzheimer's disease?,"Early signs include memory loss that disrupts daily life, challenges in planning or solving problems, difficulty completing familiar tasks, confusion with time or place, trouble understanding visual images, problems with speaking or writing, misplacing things, decreased judgment, and withdrawal from activities.",Kí ni àwọn àmì ìbẹ̀rẹ̀ àìsàn Alzheimer?,"Àwọn àmì tó ń fi hàn pé èèyàn ti ń rántí nǹkan kò tọ́, ó máa ń ṣòro fún un láti ṣe àtúnṣe tàbí láti yanjú ìṣòro, ó máa ń ṣòro fún un láti ṣe àwọn iṣẹ́ tó mọ òun lára, ó máa ń ṣòro fún un láti mọ ibi tó yẹ kó lọ, ó máa ń ṣòro fún un láti lóye àwọn àwòrán tó ń jáde látinú àwòrán, ó máa ń ṣòro fún un láti sọ̀rọ̀ tàbí láti kọ ìwé, ó máa ń ṣòro fún un láti fi àwọn nǹkan kan síbi tí kò tọ́, ó máa ń ṣòro fún un láti ṣèpinnu tó tọ́, ó sì máa ń ṣòro fún un láti dáwọ́ lé àwọn nǹkan."
How can I manage chronic pain?,"Chronic pain management may include medication, physical therapy, exercise, stress reduction techniques, heat/cold therapy, acupuncture, massage, cognitive behavioral therapy, and lifestyle modifications. A multidisciplinary approach often works best, and pain management should be individualized.",Báwo ni mo ṣe lè borí ìrora tó ń bá ara mi fínra?,"Ìṣakoso ìrora àìsàn lè ní nínú oògùn, ìtọ́jú ara, eré ìmárale, àwọn ọ̀nà ìmúlẹ̀ṣòro, itọju ooru/ìwà òjò, ìjẹ́jú, ìfọ̀nrin, ìtọ́jú ìwà àti ìyípadà nínú ìgbésí ayé."
What foods should I avoid with high blood pressure?,"Avoid or limit foods high in sodium (processed foods, canned soups, deli meats), saturated and trans fats, added sugars, excessive alcohol, and caffeine if sensitive. Focus on the DASH diet with fruits, vegetables, whole grains, lean proteins, and low-fat dairy products.",Àwọn oúnjẹ wo ló yẹ kí n yẹra fún tí ìsoríkọ́ ẹ̀jẹ̀ bá ń pọ̀ sí i?,"Má ṣe jẹ oúnjẹ tó ní èròjà sọ́dọ́ì tó pọ̀ (àwọn oúnjẹ tí wọ́n ti ṣe tán, àwọn àdàpọ̀ àpò, ẹran àjẹsára), àwọn èròjà òwúù tó ní èròjà òwúù, àwọn èròjà òwúù tó ń mú kí ara tútù, àwọn èròjà òwúù tó pọ̀ jù, ọtí àmujù àti káléfín tó ń mú kí ara tútù."
How do I know if I have a concussion?,"Concussion symptoms include headache, confusion, dizziness, nausea or vomiting, balance problems, blurred vision, sensitivity to light or noise, memory problems, and feeling sluggish. Symptoms may not appear immediately. Seek medical attention if you suspect a concussion, especially after head trauma.",Báwo ni mo ṣe lè mọ̀ bóyá mo ní ìlọgun ọpọlọ?,"Àwọn àmì tó ń fa ìlọ́pojú ara lè jẹ́ orí ìrora, ìdààmú ọkàn, ìyípadà ọkàn, ìlara tàbí ìkùnsínú, ìṣòro ìmúratán, ojú tí kò tó nǹkan, ìfòyemọ̀ sí ìmọ́lẹ̀ tàbí ariwo, ìṣòro ìrántí àti ìrẹ̀wẹ̀sì."
What are the benefits of Mediterranean diet?,"The Mediterranean diet, rich in olive oil, fish, fruits, vegetables, whole grains, and nuts, may reduce risk of heart disease, stroke, diabetes, and certain cancers. It supports brain health, weight management, and longevity. The diet emphasizes healthy fats and anti-inflammatory foods.",Àwọn àǹfààní wo ni oúnjẹ Mẹditaréníà ń ṣe?,"Oúnjẹ tó wà nínú Mẹditaréníà, tó ní ọ̀rá ólífì, ẹja, èso, èso, àgbàdo àti ọ̀pọ̀ nǹkan míì, lè dín ewu tó wà fún àrùn ọkàn, àrùn rọpárọsẹ̀, àtọ̀gbẹ àti àrùn jẹjẹrẹ kù. Ó ń mú kí ọpọlọ máa ṣiṣẹ́ dáadáa, ó ń jẹ́ kí èèyàn máa gbé ara rẹ̀ ró, ó sì ń jẹ́ kí èèyàn máa wà pẹ́ títí."
When should I get my blood pressure checked?,"Adults should have blood pressure checked at least every 2 years if it's normal (less than 120/80). Those with elevated blood pressure should be monitored more frequently. People with risk factors like family history, obesity, or diabetes may need more frequent monitoring.",Ìgbà wo ló yẹ kí n ṣàyẹ̀wò ẹ̀jẹ̀ mi?,"Àwọn àgbàlagbà gbọ́dọ̀ máa ṣàyẹ̀wò ìsoríkọ́ ẹ̀jẹ̀ ní nǹkan bí ọdún méjì lẹ́ẹ̀kan, bí ó bá jẹ́ pé ó ti wà nípò tó yẹ (tó kéré sí 120/80). Àwọn tó ní ìsoríkọ́ ẹ̀jẹ̀ tó ga ló yẹ kí wọ́n máa ṣe àyẹ̀wò rẹ̀ déédéé. Àwọn tó ní àwọn ohun tó ń fa ewu bí ìtàn ìdílé, ìsoríkọ́ tàbí àtọ̀gbẹ́ lè nílò àyẹ̀wò tó máa ń wáyé déédéé."
What are the symptoms of thyroid disorders?,"Hyperthyroidism symptoms include rapid heartbeat, weight loss, nervousness, and heat intolerance. Hypothyroidism symptoms include fatigue, weight gain, cold intolerance, dry skin, and depression. Both conditions can affect mood, energy levels, and metabolism. Blood tests can diagnose thyroid disorders.",Kí ni àwọn àmì àìsàn tó ń ṣe ẹ̀gbẹ́ ẹsẹ̀?,"Àwọn àmì tó ń fa àrùn hyperthyroidism ni ìlọgun ọkàn, ìnáwó àdánù, ìdààmú ọkàn àti àìfaradà fún ooru. Àwọn àmì tó ń fa àrùn hypothyroidism ni ìnáwó, ìnáwó àdánù, àìfaradà fún òtútù, awọ ara gbẹ àti ìsoríkọ́. Àwọn àìsàn méjèèjì yìí lè nípa lórí ìmí ẹ̀dùn, agbára àti iṣan ara."
How can I prevent UTIs (urinary tract infections)?,"Prevent UTIs by drinking plenty of water, urinating frequently and completely, wiping front to back, urinating after sexual activity, wearing breathable cotton underwear, avoiding irritating feminine products, and not holding urine for long periods. Cranberry products may also help some people.",Báwo ni mo ṣe lè dáàbò bo ara mi lọ́wọ́ àwọn àrùn inú inú ẹ̀dọ̀?,"Ó yẹ kó o máa lo omi tó pọ̀, kó o máa fi gbogbo ìgbà ṣe ìwẹ̀, kó o máa fọ ẹ̀yìn rẹ kúrò níwájú, kó o máa ṣe ìwẹ̀ lẹ́yìn ìbálòpọ̀, kó o máa wọ aṣọ ìhọ̀lẹ̀ tí kò ní jẹ́ kí obìnrin máa ṣe ẹ̀mí, kó o má sì máa fi bẹ́ẹ̀ ṣe ìwẹ̀ fún ọ̀pọ̀ ọdún."
What are the warning signs of a blood clot?,"Blood clot symptoms vary by location. Leg clots may cause swelling, pain, warmth, and redness. Lung clots (pulmonary embolism) can cause chest pain, shortness of breath, and coughing up blood. Brain clots may cause stroke symptoms. Seek immediate medical attention for suspected clots.",Kí ni àwọn àmì ìkìlọ̀ tó ń fi hàn pé ẹ̀jẹ̀ ń dà bí ìdọ̀tí?,"Àwọn àmì tó ń fa ẹ̀jẹ̀ inú ẹsẹ̀ lè yàtọ̀ síra. Àwọn ẹ̀jẹ̀ inú ẹsẹ̀ lè fa ìdọ̀tí, ìrora, ooru àti ìdọ̀tí. Àwọn ẹ̀jẹ̀ inú ẹsẹ̀ lè fa ìrora àyà, àìrífínfín ẹ̀mí àti ìgọ̀ ẹjẹ̀. Àwọn ẹ̀jẹ̀ inú ọpọlọ lè fa àwọn àmì ìjìyà tó ń fa àrùn rọpárọsẹ̀."
How much sleep do adults need?,"Most adults need 7-9 hours of sleep per night for optimal health. Individual needs may vary slightly. Consistent sleep deprivation can affect immune function, mental health, cardiovascular health, and cognitive performance. Quality of sleep is as important as quantity.",Báwo ni àwọn àgbàlagbà ṣe nílò oorun tó?,Ọ̀pọ̀ àwọn àgbàlagbà ló máa ń fẹ́ sùn wákàtí méje sí mẹ́sàn-án lójúmọ́ kí ara wọn lè le. Àwọn èèyàn lè máa ní àárẹ̀ díẹ̀.
What are the symptoms of food poisoning?,"Food poisoning symptoms include nausea, vomiting, diarrhea, stomach cramps, and fever. Symptoms typically start within hours to days after eating contaminated food. Most cases resolve within a few days, but seek medical care for severe dehydration, high fever, or blood in vomit or stool.",Kí ni àwọn àmì tí oúnjẹ ń fà?,"Àwọn àmì tó ń fa ẹ̀mí èémí lára àwọn tó ń jẹ oúnjẹ jẹ lára wọn ni ìnira, àárẹ̀, ìfun, ìfunra inú ikun àti ìbẹ̀rẹ̀. Àwọn àmì náà sábà máa ń wáyé láàárín wákàtí kan sí ọjọ́ mélòó kan lẹ́yìn tí wọ́n bá jẹ oúnjẹ tó ní èémí."
How can I boost my metabolism naturally?,"Boost metabolism through regular strength training, staying hydrated, eating protein-rich foods, getting adequate sleep, drinking green tea, eating spicy foods, and not skipping meals. Building muscle mass increases resting metabolic rate. High-intensity interval training can also help.",Báwo ni mo ṣe lè mú kí agbára ìmísí mi pọ̀ sí i?,"O lè mú kí ara rẹ máa yá gágá nípa kíkọ́ ara rẹ níṣòro, nípa jíjẹ oúnjẹ tó ní èròjà tó pọ̀ nínú, jíjẹ oúnjẹ tó ní èròjà tó pọ̀ nínú, jíjẹ àjẹyó tó yẹ, jíjẹ tii àjàrà, jíjẹ oúnjẹ tó ní èròjà líle, àti jíjẹ oúnjẹ tó ń mú kí ara máa yá gágá."
What are the risk factors for heart disease?,"Heart disease risk factors include high blood pressure, high cholesterol, smoking, diabetes, obesity, physical inactivity, unhealthy diet, excessive alcohol use, family history, age, and gender. Many of these factors can be modified through lifestyle changes and medical management.",Kí ni àwọn nǹkan tó lè fa àrùn ọkàn?,"Àwọn nǹkan tó lè fa àrùn ọkàn ni ẹ̀jẹ̀ tó ń fa àrùn, kọ́lẹ́stérẹ́lì tó pọ̀, mímu sìgá, àtọ̀gbẹ, ìsoríkọ́, àìṣiṣẹ́mọ́ ara, oúnjẹ tí kò dáa, lílo ọtí àmujù, ìtàn ìdílé, ọjọ́ orí àti ìbálòpọ̀."
How do I perform CPR correctly?,"For adult CPR: Call 911, place heel of hand on center of chest between nipples, place other hand on top, push hard and fast at least 2 inches deep at 100-120 compressions per minute. Allow complete chest recoil between compressions. Continue until emergency services arrive or the person starts breathing.",Báwo ni mo ṣe lè ṣe ìmúnájíṣẹ́ tó yẹ?,"Fún àwọn àgbàlagbà, kí wọ́n wá síbi tí wọ́n ti lè rí ìmúná dóko tó ń mú kí ara wọn tútù: Fún àwọn àgbàlagbà, ké sí 911, kó o gbé ẹsẹ̀ ẹsẹ̀ rẹ sórí àárín àyà, kó o gbé ọwọ́ kejì sí òkè, kó o tẹ̀ síwájú kíákíá, kó o sì tẹ̀ síwájú ní ìjìnlẹ̀ tó nǹkan bí ìlọ́ǹtì méjì sí ọgọ́rùn-ún àádọ́fà ìmúná dóko ní ìṣẹ́jú kan."
What are the symptoms of kidney disease?,"Early kidney disease often has no symptoms. As it progresses, symptoms may include fatigue, swelling in feet and ankles, frequent urination, blood in urine, foamy urine, persistent itching, nausea, and shortness of breath. High blood pressure and diabetes are leading causes.",Kí ni àwọn àmì àrùn ìkókó?,"Bí àrùn ìfun tó ń kọni lọ́kọ ṣe ń lọ lọ́wọ́, kò sábà máa ń ní àwọn àmì tó ń hàn. Bí àìsàn náà ṣe ń tẹ̀ síwájú, àwọn àmì náà lè ní: ìsoríkọ́, ìdọ̀tí ní ẹsẹ àti ẹsẹ̀, kéèyàn máa ń fi ẹ̀jẹ̀ rinrin, ẹ̀jẹ̀ tó ń jáde nínú ìdọ̀tí, ẹ̀dọ̀ tó ń dà rú, kéèyàn máa ń rí i pé ó ń wú, kéèyàn máa ń ní ìnira, kéèyàn sì máa ń mí ìnira."
How can I prevent seasonal allergies?,"Prevent seasonal allergies by monitoring pollen counts, keeping windows closed during high pollen days, using air purifiers, showering after being outdoors, washing bedding in hot water, avoiding outdoor activities during peak pollen times, and considering allergy medications before symptoms start.",Báwo ni mo ṣe lè dáàbò bo ara mi lọ́wọ́ àìsàn tó ń ṣe mí lọ́wọ́ ẹ̀dùn ọkàn?,"O lè yẹra fún àìsàn tó ń ṣe é nígbà tí ọ̀pọ̀ èèyàn bá ń rí i pé kò sí pollen, kó o máa pa àwọn ojú fèrèsé mọ́ nígbà tí pollen bá pọ̀, kó o máa lo àwọn ohun tó ń mú kí ẹ̀fúùfù tú, kó o máa ṣú omi lẹ́yìn tó o bá jáde, kó o máa fọ aṣọ àga nínú omi gbóná, kó o má ṣe máa ṣe nǹkan níta nígbà tí pollen bá ń pọ̀ jù, kó o sì máa lo oògùn tó máa ń mú kí àrùn náà máa ṣe é kí o tó bẹ̀rẹ̀ sí í ní àrùn náà."
What are the benefits of regular exercise?,"Regular exercise improves cardiovascular health, strengthens muscles and bones, helps maintain healthy weight, reduces risk of chronic diseases, improves mental health and mood, enhances sleep quality, boosts energy levels, and increases longevity. Both aerobic and strength training provide benefits.",Àwọn àǹfààní wo ló wà nínú ṣíṣe eré ìmárale déédéé?,"Ìmárale déédéé ń mú kí ọkàn àti àárọ̀ gbòòrò sí i, ó ń mú kí iṣan àti egungun lágbára, ó ń mú kí ara ẹni le koko, ó ń dín ewu tó wà fún àìsàn tó ń fa àrùn kù, ó ń mú kí ara ẹni le koko, ó ń mú kí ara ẹni le sí i, ó ń mú kí ara ẹni le sí i, ó ń mú kí ara ẹni le sí i, ó sì ń mú kí ara èèyàn máa gùn sí i."
